Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
stormdesigns.com,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1
norndson.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
urlzs.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
urlzs.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
cn24798.tw1.ru,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,1
lps.marshallsclub.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1
chm6ly9hdhqte.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
chm6ly9hdhqte.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
chm6ly9hdhqte.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
chm6ly9hdhqte.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
chm6ly9hdhqte.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
online-vlabcp.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
enty11-bkmufj.mrsiebert.com,0,0,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1
skleppieknydom.pl,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1
peeingcalvin.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
is.gd,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
104.238.188.2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
site9610130.92.webydo.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
goonline-bnpparibas.thatplantshop.com,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
att-100673.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
accedi-ora-cc.199-192-25-140.cprapid.com,0,0,1,2,0,0,0,1,0,1,0,1,1,1,1,1,1
goonline-bnpparibas.thatplantshop.com,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
statovisuraconto.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
pertodemim.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
att-106940-109254.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
att-100759.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
attmailseriesadminnetwork.square.site,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
attmailseriesadminnetwork.square.site,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
att-mysite-98322-106764.weeblysite.com,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
att-105979.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
att-105979.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
acessodoclientehipercard.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
wirelessinfantilecygwin.251022.repl.co,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
itau-paraguay-inicia.a88091332.repl.co,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
z0nanseguras-vialbpc.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
wysylkapaczki.pl,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1
shopp8945ojx.462955455.xyz,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
ruvhilurhb.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
rupzfljtou.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
rqlnlgudne.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
accedi-ora-id.198-187-30-132.cprapid.com,0,0,1,2,0,0,0,1,0,1,0,1,1,1,1,1,1
qsmtzqhkwn.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
23.94.42.56,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
qdoobnmllz.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
pwhupoyxyt.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
psqanqdues.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
pryhylojmn.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
pfxyxfocyk.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
accedimanualmente.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
accedimanualmente.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
clifordchance-careers.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
vinted-pl-gj32d.8pfbv.top,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
vinted-pl-gj32d.loubo.xyz,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
7d27fe8d-f391-4a44-81b8-04733fcee964.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
hbgali823--home88939823.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
7ec84ccb-2fa4-41dc-b484-92aaffd39a0a.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
interconec--interconec.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
74c503b5-dbde-4371-a20a-e42c0728b484.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
servicios--galiciahdf.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
vinted-pl-gj32d.caize.top,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
062c2163-8e63-4cff-92d4-5abc81f2c01c.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
